id,Timestamp,Представьтесь в 2-3 фразах,Работали ли Вы с Jupyter notebooks?,Что Вы ждете от курса?,Потом мы прямо этот же набор данных поанализируем с Pandas. Так что какой Ваш любимый вид спорта?,"Ладно, посерьезней: согласны ли Вы на обработку персональных данных?","Какие оцениваете свой уровень математической подготовки? (матан, линал, теорвер)","Чему равна дисперсия равномерного на [0,6] распределения?","Найдите минимум функции 3x^4-8x^3+6x^2-12 на отрезке [-3,3]",Сколько параметров у нормального распределения?,Сможете написать на Python генератор чисел Фибоначчи?,"Хорошо, а готовы к началу курса (6 сентября 2017) освоить азы Python? На уровне Code Academy, DataCamp или github.com/Yorko/python_intro",Оцените свой уровень владения GitHub,"Посоветуйте хороший фильм в стиле ""Игра в имитацию"" :)"
3019,2017/09/07 2:14:22 pm GMT+3,"хочу разобраться в МЛ, очень интересная для меня тема. Работаю консультантом внедрения ERP-системы",Да,новых интересных знаний,виндсерфинг,Да,2,,,,Да,Да,Могу скачать материалы,Игры разума
3020,2017/09/07 2:38:54 pm GMT+3,Научный сотрудник в Сколтехе. Опыт анализа данных в индустрии - 6 лет.,Да,Освежить знания,спелеология,Да,5,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Игры разума
3021,2017/09/07 2:51:26 pm GMT+3,Меня зовут Нина,Да,Узнать что-то новое,,Да,5,,,,Да,Да,,
3022,2017/09/07 2:55:07 pm GMT+3,"Закончила ВНУ им. В. Даля (физика). Работаю с детьми (изучаем математику, программирование)",Да,"Хочу научиться решать реальные задачи, участвовать в соревнованиях на Kaggle",,Да,3,3,-12,2.0,Да,Да,Могу редактировать свою копию,
3023,2017/09/07 2:57:05 pm GMT+3,Работаю аналитиком в Альфа-банке в Дирекции по процессам. ,Да,Практические знания в data science,Волейбол,Да,3,3,-12,2.0,Да,Да,Могу скачать материалы,У меня 3 детей. Какие фильмы? )))
3024,2017/09/07 3:02:16 pm GMT+3,"Чингиз Марданов, студент 4ого курса. Учусь по специальности Прикладное программирование. Люблю путешествовать. ",Да,Хочу потом перейти на Kaggle,Хоккей,Да,2,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Codebreaker
3025,2017/09/07 3:10:49 pm GMT+3,Закончил ФИЗФАК СПбГУ. Java Developer,Да,Закрепить знания в области ML,Баскетбол,Да,5,3,0,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",
3026,2017/09/07 3:28:03 pm GMT+3,"Работаю технологом в КупиВкредит, раньше прогала на питоне задачи по NLP, до сих пор интересно заниматься такими проектами.",Да,Вспомнить забытое и развить новые навыки машинного обучения,велосипед,Да,3,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Игры Разума
3027,2017/09/07 3:30:12 pm GMT+3,"30 лет, аналитик, хочу развиваться в области data science",Да,"Начинаю почти с нуля, хочу получить основную базу знаний для работы в сфере data science",футбол,Да,2,3,-15,2.0,Да,Да,Могу скачать материалы,Moneyball
3028,2017/09/07 3:42:46 pm GMT+3,Аспирант первого года обучения в ЮУрГУ. Планирую использовать машинное обучение в исследованиях,Да,Получить много практического опыта,,Да,4,3,-12,2.0,Да,Уже освоено,Могу редактировать свою копию,"Эмм, не знаю, но вот недавно посмотрел ""Капитан Фантастик"", мне понравилось"
3029,2017/09/07 3:43:44 pm GMT+3,Защищаю степень PhD. Полученные занания в даленейшем планирую использовать в теме автономного управеления ТС.,Нет,"Получить структурированную информацию о машинном обучении. Научиться писать ""чистые"" скрипты для предварительной обработки данных.",Хоккей,Да,3,0.2,-12,2.0,Да,Да,Могу скачать материалы,
3030,2017/09/07 3:44:15 pm GMT+3,"Студентка последнего курса МГТУ им Н,Э. Баумана",Да,Получение знаний в области машинного обучения,,Да,5,3,-12,2.0,Да,Да,Могу скачать материалы,Игры разума
3031,2017/09/07 3:57:16 pm GMT+3,Студент 3 курса факультета математики ВШЭ,Да,Лучшего понимания изучаемых процессов по результату прохождения,Снукер,Да,5,3,-12,2.0,Да,Да,Могу скачать материалы,Игры разума
3032,2017/09/07 4:17:16 pm GMT+3,физик программист,Да,Практики,,Да,5,,,,Да,Да,"Пользуюсь ветками, могу что-то смерджить",
3033,2017/09/07 4:24:50 pm GMT+3,"программист, mail.ru, ex-Яндекс. хочу больше думать, а кода писать меньше",Да,"практики и теории дальше, чем 101",,Да,3,3,-12,2.0,Да,уже,Проф,
3034,2017/09/07 4:28:19 pm GMT+3,"выпускник-магистр ВМК МГУ, аналитик данных в ozon.ru",Да,структуризация знаний о машинном обучении,,Да,4,,,,Да,Да,"Пользуюсь ветками, могу что-то смерджить",
3035,2017/09/07 4:51:32 pm GMT+3,"студент  из провинции, начинающий в ML",Да,быстрое погружения в теорию,хоккей,Да,2,3,-12,2.0,Да,уже,"Пользуюсь ветками, могу что-то смерджить",
3036,2017/09/07 4:53:38 pm GMT+3,"Студент-примат. Люблю физику(безответно), поэтому пытаюсь применять ML для задач обработки данных в HEP",Да,Интересные задачки,blood bowl,Да,5,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",
3037,2017/09/07 5:09:53 pm GMT+3,Раз. Два.,Нет,Ничего,,Да,3,,-12,2.0,Не знаю,Нет,По нулям,
3038,2017/09/07 5:15:31 pm GMT+3,big data engineer at rambler adtech,Да,разобраться наконец что за ML зверь такой,сплав,Да,3,3,-30,2.0,Да,Да,Проф,игры разума
3039,2017/09/07 5:31:19 pm GMT+3,"работаю аналитиком в x5, хочу получить практические навыки в машинном обучении",Да,"Освежить теоретические знания в машинном обучении, получить практические навыки",баскетбол,Да,4,,-12,2.0,Да,Да,Могу скачать материалы,человек дождя
3040,2017/09/07 5:50:46 pm GMT+3,Студент 3 курса физмата РУДН. Хотелось бы получить представление о методах data science.,Да,"Представление о средствах, используемых в анализе данных",Сноубординг,Да,3,3,-11,2.0,Да,6 уже прошло),Могу скачать материалы,Beautiful mind
3041,2017/09/07 6:07:20 pm GMT+3,"Я закончила кафедру теоретической и прикладной лингвистики на филфаке МГУ в 2011 году. С 2011 года по настоящее время работала компьютерным лингвистом с использованием фреймворка Gate, сейчас занимаюсь обработкой данных на Python.",Да,Хотелось бы улучшить навыки анализа данных. ,спортивный туризм!,Да,2,3,-12,2.0,Да,Да,Могу редактировать свою копию,
3042,2017/09/07 6:10:04 pm GMT+3,"дата-аналитик, планирующий переходить в сторону машинного обучения",Нет,"много полезной информации, нетворкинг, получение практических навыков",баскетбол,Да,4,3,-12,4.0,Да,Да,Могу скачать материалы,его еще снимают ;)
3044,2017/09/07 7:57:37 pm GMT+3,"SAP BI конусльтант, заинтересованный в области Data Science, AI",Да,Улучшить знания Питона и получить опыт близкий к реальным проблемам бизнеса в области Науки о данных,Футбол,Да,4,3,-12,2.0,Нет,Да,Могу редактировать свою копию,Игры разума
3045,2017/09/07 8:12:05 pm GMT+3,Разработчик инструментов анализа данных,Да,Системной подачи информации,Биатлон,Да,4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить","A Beautiful Mind, (2001)"
3046,2017/09/07 8:22:01 pm GMT+3,"Студент 4 курса РАНХиГС, экономист-математик. Интересуюсь продвинутыми методами машинного обучения",Да,"Глубоких знаний и много практики, которой так не хватает в университете",Теннис,Да,5,3,-11,2.0,Да,Да,Могу скачать материалы,Жизнь Пи
3047,2017/09/07 8:52:02 pm GMT+3,Учусь на магистра - Интеллектуальный анализ данных. Работаю тестировщиком/аналитиком БД. Люблю историю и игры.,Да,Понимание что такое машинное обучение и свой небольшой проект,Мини-гольф,Да,4,3,-12,2.0,Да,Уже на этом уровне,Могу редактировать свою копию,"Посоветовать не могу, похожего не смотрел =\"
3048,2017/09/07 8:52:27 pm GMT+3,студент-математик,Да,волшебства,баскетбол,Да,4,3,-12,2.0,Да,Да,Могу скачать материалы,Умница Уилл Хантинг
3049,2017/09/07 9:00:23 pm GMT+3,"Математик по образованию,  работаю преподавателем. Интересуюсь прикладной информатикой.",Да,Смогу выиграть футболку в соревнованиях по ML,,Да,5,3,-11,2.0,Да,"к 6 опоздала, но посмотрю",Могу редактировать свою копию,
3050,2017/09/07 9:23:39 pm GMT+3,Магистр программы ML в ИТМО,Да,"Получение основной теории, опыт решения задач, контакты в ds сообществе.",Бодибилдинг,Да,3,3,-12,2.0,Да,Да,Могу скачать материалы,"к сожалению, не смотрел фильм ""Игра в имитацию"""
3052,2017/09/07 9:44:19 pm GMT+3,"Выпускник экономического факультета РАНХиГС 2017,работаю бизнес-аналитиком в Nissan по программе Nissan Graduates",Нет,Практических знаний и инструментов для анализа данных,Волейбол ,Да,3,3,-12,2.0,Нет,Да,Могу скачать материалы,
3053,2017/09/07 9:55:34 pm GMT+3,"Разработчик, Архитектор, Интересуюсь ИИ",Да,знаний,футбол,Да,3,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить","Сам люблю этот фильм, если найдете что-то в том же духу дайте знать"
3054,2017/09/07 10:31:40 pm GMT+3,"Здравствуйте. Закончила СПбГЭУ в 2017 году по направлению ""Экономика"", а именно ""Математические методы и статистический анализ в экономике"". На данный момент обучаюсь по магистерской программе в СПбГЭУ на кафедре ""Прикладная математика и информатика"".",Нет,"Более детальное ознакомление с ""Python"" в рамках анализа данных. ",Волейбол,Да,4,3,-12,2.0,Нет,Да,Могу скачать материалы,
3055,2017/09/07 10:39:15 pm GMT+3," Студент 2-го курса ФКН ПМИ, и просто тащусь от идей AI, ML, DL и such stuff ",Да,Устроится на летнюю стажировку в Яндекс ,ха ха ха ,Да,3,,,2.0,На википедии же написано : ),Да,Могу редактировать свою копию,"Ну, конечно, ""Игры разума"" с Рассел Кроу "
3056,2017/09/07 10:41:47 pm GMT+3,"Студент пятого курса, закончил бакалавриат по it специальности, люблю заниматься спортом и познавать новое",Да,"Поднять собственные знания по ML на новый уровень, выбрать направление дальнейшего развития для магистерской работы.","Бег, танцы (сальса).",Да,4,3,-12,2.0,Да,Да,Могу редактировать свою копию,"Умница уилл хантинг, Одаренная"
3057,2017/09/07 10:55:50 pm GMT+3,"Студентка СПБГЭУ, профиль математические методы в экономике. Играю на рояле, неплохо)",Нет,Новых идей.,Фигурное катание,Да,3,3,-12,2.0,Да,Да,По нулям,"Человек, который познал бесконечность"
3058,2017/09/07 11:12:03 pm GMT+3,Developer,Нет,Знания,Триатлон,Да,3,,,1.0,Нет,Да,"Пользуюсь ветками, могу что-то смерджить",
3059,2017/09/07 11:27:19 pm GMT+3,"Студентка Волгатеха, ФИиВТ, 4 курс.",Да,Понимание предмета изучения с помощью теории и практики,,Да,3,3,-12,2.0,Да,Да,Могу скачать материалы,
3060,2017/09/07 11:41:00 pm GMT+3,вечный студент:),немного,пока не знаю,бег 3км,Да,3,3,-12,2.0,Да,с азами знаком,Могу скачать материалы,Доказательство
3062,2017/09/07 11:48:15 pm GMT+3,"Занимаюсь профессиональной разработкой ПО, очень интересуюсь областью машинного обучения",Да,Новых знаний,Бег,Да,4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",
3063,2017/09/07 11:51:32 pm GMT+3,"Студент 1ого курса, начинаю интересоваться data science",Да,"Ожидаю, что научусь использовать базовые библиотеки python для анализа данных и машинного обучения, пойму как все устроено изнутри. Если и не полностью, то хотя бы хорошое представление того, что там внутри происходит появится",Бег,Да,2,3,-12,2.0,Да,уже есть,По нулям,Умница Уилл Хантинг
3065,2017/09/08 12:22:07 am GMT+3,Студент 4 курса. Страшо забывчивый,Да,Ответа на вопрос - зачем нужен ML,Бадминтон,Да,1,,,2.0,Да,Да,Могу скачать материалы,
3066,2017/09/08 1:23:52 am GMT+3,Я инженер группы синтеза речи в Гугл. ,Нет,Интересны внешние и open-source технологии маш-обучения.,"Видимо, бег на длинные дистанции.",Да,4,3,-12,2.0,Да,Да,Могу редактировать свою копию,"Искупление. То же самое, но без математики."
3067,2017/09/08 5:03:49 am GMT+3,Студент магистратуры по направлению прикладная математика и информатика,Да,Улучшение своих знаний в области машинного обучения,Никакой,Да,5,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Социальная сеть
3069,2017/09/08 7:15:39 am GMT+3,"Я закончила ВУЗ по специальности ""Математика"" и в настоящее время работаю data scientist (ом) в нефтехимической компании. Считаю себя начинающим в области машинного обучения. ",Да,Хочу вывести свои знания и умения в области машинного обучения и работы с python на более высокий уровень.,Горные лыжи,Да,3,3,-12,2.0,Нет,Прошла курсы на Code Academy. Постараюсь подтянуть свои знания к прохождению курса,Могу скачать материалы,Игры разума
3070,2017/09/08 7:30:13 am GMT+3,Виктория,Нет,Новых знаний,Бодибилдинг,Да,3,3,-12,2.0,Да,Нет,Могу скачать материалы,
3071,2017/09/08 8:27:32 am GMT+3,"Работаю, учусь, участвую в хакатонах. Уже год увлекаюсь машинным обучением. Хочу развиваться дальше.",Да,Структурирования моих текущих знаний.,Гандбол,Да,4,3,-12,2.0,Да,Да,Могу скачать материалы,Игры разума
3072,2017/09/08 8:58:17 am GMT+3,Инженер в банке. Интересует направление курса.,Нет,"Получение ""азов""",Спортивная гимнастика,Да,3,3,-15,2.0,Да,Да,По нулям,Не могу
3073,2017/09/08 9:23:29 am GMT+3,математическая вэб-макака,Нет,Новой информации,Футбол,Да,3,3,-12,2.0,Нет,уже 7,Проф,Игры разума
3074,2017/09/08 10:32:41 am GMT+3,"Студент магистратуры, направление прикладная математика. но у нас нет курсов посвященных машинному обучению(",Да,"хочу получить первоначальное представление, чтобы знать, нужно ли это, и что делать дальше",плавание,Да,5,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",
3077,2017/09/08 11:58:12 am GMT+3,риск аналитик,Да,"новых знаний, знакомств",баскетбол,Да,4,1,-12,2.0,Да,Да,Могу скачать материалы,"Человек, который познал бесконечность"
3078,2017/09/08 12:14:09 pm GMT+3,Мне 40. Хочу научиться программировать.,Нет,повысить уровень знаний,К1,Да,3,3,-12,2.0,Да,Нет,Могу скачать материалы,
3080,2017/09/08 1:13:29 pm GMT+3,Интересуюсь машинным  обучением. Студент-магистр,Да,хочу получить практические навыки решения задач с данными,плаванье,Да,4,3,-12,2.0,Да,Да,Могу редактировать свою копию,The Theory of Everything
3081,2017/09/08 1:26:15 pm GMT+3,"Привет, коллега",Да,Систематизации своих разрозненных знаний,Бокс,Да,4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",
3082,2017/09/08 1:43:43 pm GMT+3,Я работаю инженером и попутно учусь в магистратуре. Увлекаюсь рисованием и архитектурой древности.,Да,Повышение навыков работы с данными,Бокс,Да,3,3,-12,2.0,Да,Да,Могу редактировать свою копию,Код да Винчи
3084,2017/09/08 2:24:31 pm GMT+3,"Программирование, экстрим и семейные ценности",Да,Движухи для ума,Climbing,Да,3,3,-12,2.0,Да,Уже,Проф,"Интересно, сколько написали Игры Разума, а сколько Начало"
3085,2017/09/08 2:40:24 pm GMT+3,"Программист C#, писал всякие сервисы на стеке технологий от Microsoft. Хочу погрузиться в DataScience.",Нет,Стартового набора знаний в DataScience,Кайтинг,Да,3,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Игры разума
3086,2017/09/08 2:57:34 pm GMT+3,"Студент ВМК МГУ, кафедра алгоритмических языков, 4 курс",Да,"повторение знаний по ML, получение новых знаний и опыта",Зеленый,Да,4,3,-12,2.0,Да,я знаю питон),"Пользуюсь ветками, могу что-то смерджить",хз хз 
3087,2017/09/08 3:12:44 pm GMT+3,Айтишный энергетик,Да,"знаний, знакомств с людьми",хоккей,Да,3,3,-12,2.0,Да,Да,Могу редактировать свою копию,Умница Уилл Хантинг
3089,2017/09/08 3:58:15 pm GMT+3,Желающий обучиться ML и DS,Нет,Изучить основы ML&DS,Стрельба,Да,3,,-12,,Да,Да,По нулям,
3090,2017/09/08 4:11:48 pm GMT+3,Аналитик в Ozon.ru,Да,"Вспомнить то, что учила раньше, узнать новое, поднять скилл",dota 2 :),Да,4,3,-12,2.0,Да,Да,Могу редактировать свою копию,"Сериал ""Мир дикого запада"", не в стиле, но рекомендую к просмотру"
3091,2017/09/08 4:59:20 pm GMT+3,"BI engeener, в прошлом работал в банках, интересуюсь DS",Да, Знаком с основами. Хочу расширить и углубить знания. ,пляжный женский волейбол,Да,3,честно (пока) не знаю,-57.62669117,2.0,Да,Да,Могу скачать материалы,"""Игры разума"" (но его все видели :)"
3092,2017/09/08 5:52:06 pm GMT+3,интересуюсь программированием,Нет,научиться программировать на питоне,,Да,3,,,,Да,Да,По нулям,
3093,2017/09/08 6:30:01 pm GMT+3,Студентка СПБГЭУ. Пытаюсь изучать математику,Нет,"Базовые знания по машинному обучению, подтянуть уровень Python",Волейбол,Да,3,3,-12,2.0,Да,Нет,По нулям,"Игры разума, человек который познал бесконечность"
3094,2017/09/08 9:50:08 pm GMT+3,"Привет, меня зовут Игорь, работаю веб разработчиком, преимущественно бекенд, преимущественно python",Да,Хардкорного курса по МЛ,баскетбол,Да,3,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",
3095,2017/09/08 10:05:51 pm GMT+3,"Студент 3 курса ИТМО специальность Программная инженерия, прошел Введение на курьере (от Яндекса и ВШЭ), попробовал что-то делать сам - не очень вышло, хочу учиться еще",Да,"Закрепления знаний по теории и применению алгоритмов, практики (Docker, Vowpal)",DotA2,Да,3,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить","""Король говорит"""
3096,2017/09/08 10:16:56 pm GMT+3,Software Development Manager in PTC,Да,Базовых теоретических знаний и навыков владения машинным обучением ,Aikido,Да,3,3,1,2.0,Да,Да,Могу скачать материалы,
3097,2017/09/08 10:29:25 pm GMT+3,Закончил РАНХиГС экономический факультет,Нет,Интересные задачи и инструменты для анализа данных,,Да,4,3,-12,2.0,Нет,Да,Могу скачать материалы,Игры разума
3098,2017/09/09 12:26:27 am GMT+3,python программист увлекающийся data science,Да,углубления знаний в области анализа данных,велоспорт,Да,3,0.5,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",
3099,2017/09/09 12:36:32 am GMT+3,"Аналитик, работающий с данными города Москвы. ",Да,Просветления :) ,Сноубординг,Да,4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Пробуждение
3102,2017/09/09 12:01:48 pm GMT+3,"Выпускник МГУ, бекенд разработчик, интересуюсь Data Science и прочим",Нет,Научиться ближе к практике,Скалолазание,Да,3,3,-12,2.0,Да,Да,Проф,Игры разума
3103,2017/09/09 12:30:53 pm GMT+3,BMSTU studend,Да,Basic knowlage about ML,Tennis,Да,3,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Sherlok
3104,2017/09/09 12:57:59 pm GMT+3,Интернет-маркетолог,Нет,Безудержного веселья,Рукопашный бой,Да,1,3,-12,2.0,Да,уже 9 сентября,По нулям,Пи
3105,2017/09/09 1:40:09 pm GMT+3,Студент ФКН ВШЭ 2 курс.,Да,Понять как эффективнее кодить ML(делая домашки) и познакомиться с некоторыми новыми отраслями,Настольный теннис,Да,4,0.5,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Социальная сеть
3106,2017/09/09 1:48:40 pm GMT+3,Я студент 2 университета ИТМО,Нет,Интересных заданий,Фигурное катание,Да,3,0.5,-12,2.0,Да,Да,Могу скачать материалы,Игры разума
3107,2017/09/09 2:48:22 pm GMT+3,"Студент 5го курса Мехмата МГУ, усидчивый и всегда готовый к новым знаниям",Да,Закрепления базы Data Scientist'a,Хоккей,Да,4,3,-12,2.0,Да,Да,Могу скачать материалы,Игры разума
3108,2017/09/09 3:23:12 pm GMT+3,работаю в Алтайском госуниверситете на физико-техническом факультете,Да,"возможности потренироваться на реальных данных, привести свои знания и навыки в упорядоченное целое, узнать новые практические методы решения задач машинного обучения",плавание,Да,5,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Вселенная Стивена Хокинга
3109,2017/09/09 3:23:33 pm GMT+3,Выпускник МФТИ. Люблю музыку,Да,"Развития практических навыков, знакомства с людьми",Бокс,Да,5,3,-12,2.0,Да,Да,Могу скачать материалы,Агора
3110,2017/09/09 3:39:38 pm GMT+3,software engineer в Snap Inc. ,Нет,базовых навыков в ML,бокс,Да,3,3,-12,,Да,Да,Проф,
3111,2017/09/09 4:34:23 pm GMT+3,Студент 2 курса университета ИТМО,Нет,"Интересные задачи, новая информация",,Да,2,,,,Нет,Да,,
3112,2017/09/09 4:46:48 pm GMT+3,"Lead Software Engineer - java и web направление сейчас, в процессе перехода на bigdata",Да,"Знаний, опыта, взаимодействия c сообществом",киберспорт,Да,3,3,-12,2.0,Да,Да,Проф,The Theory of Everything
3113,2017/09/09 4:47:20 pm GMT+3,"Учусь на 1 курсе магистратуры по направлению ""Прикладная математика и информатика"".",Да,"Интересное погружение в мир машинного обучения, нескучные прикладные задачи и полезную теорию.",Плавание,Да,5,3,-12,2.0,Да,Да,Могу скачать материалы,Горбатая гора :D
3114,2017/09/09 4:51:30 pm GMT+3,"Технический консультант по системам мониторинга, выпускник МФТИ.",Да,Ознакомиться с принципами продвинутого анализа данных,футбол,Да,2,3,-11,2.0,Да,Да,Могу редактировать свою копию,игры разума
3115,2017/09/09 5:14:32 pm GMT+3,"Занимаюсь web разработкой на C#, asp.net. Интересуюсь машинным обучением и анализом данных.",Да,Получить практический опыт. Влиться в среду анализа данных,шахматы,Да,3,3,-12,2.0,Да,Да,Могу скачать материалы,
3116,2017/09/09 5:43:43 pm GMT+3,"Начинающий django разработчик, хочу расширить кругозор и наверстать пропущенное в университете по глупости.",Нет,Расширения сознания,eve online,Да,3,3,-12,2.0,Да,уже (кроме jupiter),"Пользуюсь ветками, могу что-то смерджить",
3118,2017/09/09 6:56:32 pm GMT+3,Учусь в магистратуре Высшей школы экономики на специальности Анализ больших данных. Прошел пару курсов по машинному обучению на курсера и Stepic. Ищу как можно дальше улучшить свои знания,Да,Практическое применение знаний машинного обучения,Бокс,Да,4,3,-12,2.0,Да,Да,Могу скачать материалы,Начало
3119,2017/09/09 7:17:15 pm GMT+3,"выпускник вшэ, последние полгода интересуюсь machine learning",Да,домашек,каратэ wkf,Да,3,,,,Да,Да,По нулям,
3120,2017/09/09 9:51:36 pm GMT+3,"Программист, работал на проектах синтеза речи (разработка движка), распознавание документов (с помощью сторонних библиотек, ABBYY FlexiCapture, tesseract), интересуюсь машинным обучением в приложении к обработке естественного языка, речи и изображений.",Да,Получить практический опыт использования алгоритмов машинного обучения.,Фигурное катание,Да,2,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить","Если это серьёзный вопрос, то мне понравились ""Игры разума"" про Джона Нэша"
3121,2017/09/10 12:02:32 am GMT+3,"Закончил бакалавриат вышки по направлению программная инженерия, во время учебы мальца заинтересовался машинным обучением, сейчас работаю аналитиком в банке – строю модельки. Люблю кино, природу и мемы",Да,"Подтянуть математику, закрепить азы",,Да,1,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Мэнборг (2011)
3122,2017/09/10 1:55:54 am GMT+3,Давно читаю про ML,Да,Обетение уверенности,Коньки,Да,4,3,-12,2.0,Да,Да,Могу скачать материалы,Игры разума
3123,2017/09/10 2:10:47 am GMT+3,"Студент 2 курса НИУ ВШЭ СПб, надеюсь связать свою карьеру с дата саенсом (ну или хотя бы рисерчить все что ни попадя)",Да,что он даст мне крутой старт в дата саенсе,F1,Да,2,3,-12,2.0,Да,Да,Могу скачать материалы,
3124,2017/09/10 2:30:13 am GMT+3,Студент магистратуры МГУ учившийся в провинциальном вузе,Да,Хороший толчок в области изучения DS,Его нет,Да,3,1,-12,2.0,Да,Да,По нулям,Игры разума
3125,2017/09/10 3:05:32 am GMT+3,"Переводчик, любитель программирования и математики.",Нет,Новых познаний в сфере науки о данных.,Бокс.,Да,1,,,,Нет,Да,"Пользуюсь ветками, могу что-то смерджить",
3126,2017/09/10 8:07:37 am GMT+3,PHP программист интересующийся анализом данніх,Да,Систематизировать знания по анализу данных,,Да,3,,,,Да,Да,Проф,
3127,2017/09/10 8:49:28 am GMT+3,Highload engineer,Да,Освежить знания и получить практические навыки,Баскетбол,Да,3,3,,2.0,Да,Да,Проф,"Доктор Стрейнджлав, или Как я перестал бояться и полюбил бомбу"
3128,2017/09/10 8:51:30 am GMT+3,Data scientist @ surfstudio.ru Учусь на 4 курсе Воронежского ГУ.,Да,Соревнования,Баскетбол,Да,3,3,-12,2.0,Да,Да,Проф,
3129,2017/09/10 9:19:48 am GMT+3,учусь на 3 курсе прикладной информатики,Нет,новых знаний,,Да,4,,,,Да,Да,"Пользуюсь ветками, могу что-то смерджить",число пи
3130,2017/09/10 11:29:11 am GMT+3,Работаю в области мат. моделирования. Прошел курс MIPT,Да,Получение новых знаний и закрепление старых.,бег,Да,4,4.2,-12,2.0,Да,Да,Могу скачать материалы,Игры разума
3131,2017/09/10 1:01:00 pm GMT+3,"Магистр МГТУ им. Н.Э. Баумана, инженер НИИСМ2-2 при МГТУ им. Н.Э. Баумана",Да,Получения практических навыков и знаний для построения нейросетей по средствам python для возможности научного исследования по темам своих работ,Теннис,Да,3,3,-12,2.0,Да,уже есть навыки владения python,"Пользуюсь ветками, могу что-то смерджить",Таких фильмов мало
3132,2017/09/10 1:14:54 pm GMT+3,Студент МФТИ 6 курс. 22 года. ,Да,Выучить основы ML,"Лыжи, бег",Да,4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Социальная сеть
3133,2017/09/10 1:27:28 pm GMT+3,Студентка,Да,Знакомство с основами машинного обучения,,Да,3,4,-12,2.0,Да,Нет,Могу скачать материалы,
3134,2017/09/10 3:08:41 pm GMT+3,"Закончила МФТИ, хочу заниматься DataScience",Да,Веселых задачек),Прогулки по вечерам =),Да,4,3,-12,2.0,Да,Да,Могу редактировать свою копию,
3135,2017/09/10 3:11:20 pm GMT+3,"Занимаюсь развитием систем автоматизации digital-рекламы более 3 лет, реализовывал несложные модули по прогнозированию конверсий и управлению ставками в рекламе на основе анализа данных.  ",Да,От курса хочу получить более полное и структурированное понимание методов работы с данными.,Виндсерфинг,Да,3,3,-12,2.0,Да,Да,Могу редактировать свою копию,Пи
3136,2017/09/10 4:26:30 pm GMT+3,"Учусь в НИУ ВШЭ(Спб) на социальной информатике, интересуюсь анализом данных и программированием. Самоучка недоучка.",Да,"Интересных задач для решения(ну, или попыток их решить) ",Гребля ,Да,2,3,-12,2.0,Да,Да,Могу редактировать свою копию,Игры разума ?)
3138,2017/09/10 5:39:01 pm GMT+3,Passionate developer,Да,Практического применения навыков пускай и на синтетике но как можно приближеннее,Джиу-джитцу,Да,4,0.5,-12,2.0,Да,Да,Проф,Область тьмы
3139,2017/09/10 6:04:01 pm GMT+3,"Software Engineer, tech geek",Да,Пинок к изучению ML,Сноуборд,Да,2,3,-12,2.0,Да,Да,Проф,
3140,2017/09/10 6:10:47 pm GMT+3,Люблю проектики и не умею планировать. Latticetower на githib.com,Да,"Возможность пинать своих ленивых друзей, чтобы они прошли курс вместе со мной",,Да,3,3,-12,2.0,Да,Да,Проф,
3141,2017/09/10 6:11:15 pm GMT+3,"Три года назад закончил Прикладную математику в Днепропетровске, с тех пор, да и ранее, занимался дотнет-разработкой в банковском секторе, в данный момент занимаюсь ей из Чехии.",Нет,"Освежения и освоения знаний, продуктивной работы .)",Футбол,Да,2,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить","Beautiful Mind, The Man Who Knew Infinity"
3142,2017/09/10 6:58:27 pm GMT+3,"Студент магистратуры МГТУ Баумана, математик, программист",Нет,"Открыть для себя новую область знаний, приобрести цельное представление о том, как это работает для дальнейшего изучения. ",кикер,Да,4,3,-12,2.0,Да,готов осваивать на лету,Могу редактировать свою копию,"Умница Уилл Хантинг, например"
