Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
WipEout HD Fury,PS3,2009,Racing,Sony Computer Entertainment,0,0.05,0,0.01,0.07,89,15,8.4,115,Studio Liverpool,E10+
Fallout: Brotherhood of Steel,PS2,2004,Role-Playing,Avalon Interactive,0.03,0.03,0,0.01,0.07,64,31,4.1,51,Interplay,M
Dreamer Series: Pop Star,DS,2009,Misc,Tivola,0.04,0.02,0,0.01,0.07,,,tbd,,Dreamcatcher,E
Penguins of Madagascar,3DS,2014,Action,Namco Bandai Games,0,0.06,0,0,0.07,51,4,tbd,,Little Orbit,E
12-Sai. Honto no Kimochi,3DS,2014,Adventure,Happinet,0,0,0.07,0,0.07,,,,,,
Parlor! Mini 2,SNES,1996,Misc,Nippon Telenet,0,0,0.07,0,0.07,,,,,,
"Flower, Sun, and Rain",DS,2008,Adventure,Rising Star Games,0.06,0,0,0,0.07,54,37,7.1,15,h.a.n.d. Inc.,T
Gunstar Super Heroes,GBA,2005,Shooter,Sega,0.05,0.02,0,0,0.07,83,31,8.5,13,Treasure,E10+
C: The Contra Adventure,PS,1998,Shooter,Konami Digital Entertainment,0.04,0.02,0,0,0.07,,,,,,
Interactive Storybook DS Series 1,DS,2007,Misc,Tommo,0.06,0,0,0,0.07,,,tbd,,Starfish SD,E
Frogger Advance: The Great Quest,GBA,2002,Action,Konami Digital Entertainment,0.05,0.02,0,0,0.07,55,9,tbd,,KCEA,E
Cities XL 2012,PC,2011,Strategy,Focus Home Interactive,0.01,0.05,0,0.01,0.07,61,18,5.6,95,Monte Cristo Multimedia,E
Worms Forts: Under Siege,XB,2004,Strategy,Sega,0.05,0.01,0,0,0.07,67,15,8,6,Team 17,T
Dream C Club,X360,2009,Simulation,D3Publisher,0,0,0.07,0,0.07,,,,,,
Pocky & Rocky with Becky,GBA,2001,Shooter,Altron,0.05,0.02,0,0,0.07,,,,,,
The Tale of Despereaux,DS,2008,Platform,Brash Entertainment,0.06,0,0,0,0.07,75,5,tbd,,Brash Entertainment,E
Jam Sessions 2,DS,2009,Misc,Ubisoft,0.06,0,0,0,0.07,66,7,tbd,,Plato,E10+
Full Spectrum Warrior: Ten Hammers,PS2,2006,Strategy,THQ,0.03,0.02,0,0.01,0.07,71,26,8,5,Pandemic Studios,M
Streets of Rage 3,GEN,1993,Action,Sega,0,0,0.07,0,0.07,,,,,,
Just Dance: Disney Party 2,X360,2015,Action,Ubisoft,0.05,0.01,0,0.01,0.07,,,tbd,,Ubisoft,E
Natural Doctrine,PSV,2014,Role-Playing,Nippon Ichi Software,0.02,0.01,0.03,0.01,0.07,60,7,7.5,29,Kadokawa,M
Hasbro Family Game Night Fun Pack,X360,2011,Misc,Electronic Arts,0.06,0,0,0,0.07,,,tbd,,Electronic Arts,E
Pro Yaky? Spirits 4,PS3,2007,Sports,Konami Digital Entertainment,0,0,0.07,0,0.07,,,,,,
Prince of Persia: The Fallen King,DS,2008,Action,Ubisoft,0.06,0,0,0,0.07,64,24,6,9,Ubisoft,E
My Horse & Me: Riding for Gold,DS,2008,Sports,Atari,0.05,0.01,0,0,0.07,,,,,,
Speed Racer,PS,1996,Racing,Tomy Corporation,0.04,0.02,0,0,0.07,,,,,,
NHL Hitz Pro,XB,2003,Sports,Midway Games,0.05,0.01,0,0,0.07,81,23,8.8,12,Next Level Games,E
Cardfight!! Vanguard: Lock On Victory!!,3DS,2014,Misc,FuRyu,0,0,0.07,0,0.07,,,,,,
Broken Sword 5: The Serpent's Curse,PS4,2015,Adventure,Revolution Software,0,0.06,0,0.01,0.07,72,14,7.2,23,Revolution Software,T
Alan Wake,PC,2012,Action,Nordic Games,0,0.06,0,0.01,0.06,83,30,8,1473,Remedy Entertainment,T
Atelier Meruru: Alchemist of Arland 3,PSV,2013,Role-Playing,Gust,0,0,0.06,0,0.06,,,,,,
Hot Wheels: Burnin' Rubber,GBA,2001,Racing,THQ,0.05,0.02,0,0,0.06,66,5,tbd,,Altron,E
Lost in Blue 2,DS,2007,Adventure,Konami Digital Entertainment,0.01,0.01,0.05,0,0.06,58,29,tbd,,Matrix Software,E10+
Ojyousama Express,PS,1998,Strategy,Media Works,0,0,0.06,0,0.06,,,,,,
Risen 3: Titan Lords,X360,2014,Role-Playing,Deep Silver,0.02,0.04,0,0,0.06,44,8,4.4,69,Piranha Bytes,M
Steambot Chronicles: Battle Tournament,PSP,2008,Fighting,Irem Software Engineering,0.05,0,0.01,0.01,0.06,54,14,6.3,8,Irem,E10+
Wings of War,XB,2004,Simulation,Take-Two Interactive,0.05,0.01,0,0,0.06,62,29,5,5,Silver Wish Games,T
187: Ride or Die,XB,2005,Racing,Ubisoft,0.05,0.01,0,0,0.06,51,40,6.9,8,Ubisoft Paris,M
RPG Maker 3,PS2,2004,Role-Playing,Enterbrain,0.03,0.02,0,0.01,0.06,69,16,7.9,14,Runtime,E10+
Zatch Bell! Mamodo Battles,GC,2005,Fighting,Namco Bandai Games,0.05,0.01,0,0,0.06,,,,,,
Genkai Tokki Monster Monpiece,PSV,2013,Strategy,Idea Factory,0,0,0.06,0,0.06,,,,,,
Desert Strike Advance,GBA,2002,Simulation,Electronic Arts,0.05,0.02,0,0,0.06,66,6,tbd,,BudCat,E
Kabuki Warriors,XB,2001,Action,Genki,0.05,0.01,0,0,0.06,32,15,2.5,12,Light Weight,M
Discworld,PS,1994,Adventure,Psygnosis,0.04,0.02,0,0,0.06,,,,,,
Motion Explosion!,X360,2011,Misc,505 Games,0.05,0.01,0,0,0.06,,,,,,
World Poker Tour,XB,2005,Misc,Take-Two Interactive,0.05,0.01,0,0,0.06,63,17,7.8,4,2K Sports,T
Age of Empires III: The Asian Dynasties,PC,2007,Strategy,Microsoft Game Studios,0,0.05,0,0.01,0.06,81,19,8.5,71,Big Huge Games,T
Elite Forces: Unit 77,DS,2009,Strategy,Deep Silver,0.06,0,0,0,0.06,61,23,tbd,,Gammick Entertainment,T
IL-2 Sturmovik: Birds of Prey,DS,2009,Simulation,505 Games,0.06,0,0,0,0.06,41,4,2.4,5,DiP Interactive,E10+
Moshi Monsters: Katsuma Unleashed,3DS,2013,Action,Activision,0.03,0.03,0,0.01,0.06,,,tbd,,Black Lantern Studios,E
Pirates: The Legend of Black Kat,XB,2002,Adventure,Electronic Arts,0.05,0.01,0,0,0.06,74,16,tbd,,Westwood Studios,T
July,DC,1998,Adventure,Fortyfive,0,0,0.06,0,0.06,,,,,,
Crime Lab: Body of Evidence,DS,2010,Adventure,City Interactive,0.05,0.01,0,0,0.06,53,13,tbd,,City Interactive,T
Disney's Chicken Little: Ace In Action,DS,2006,Shooter,Disney Interactive Studios,0.06,0,0,0,0.06,66,13,tbd,,DC Studios,E
ESPN Winter X-Games: Snowboarding 2002,GBA,2000,Sports,Konami Digital Entertainment,0.05,0.02,0,0,0.06,,,,,,
Bleach: Versus Crusade,Wii,2008,Fighting,Sega,0,0,0.06,0,0.06,,,,,,
Kanon,DC,2000,Adventure,NEC Interchannel,0,0,0.06,0,0.06,,,,,,
NanoBreaker,PS2,2005,Action,Konami Digital Entertainment,0.03,0.02,0,0.01,0.06,51,38,6.7,11,KCET,M
You Don't Know Jack,DS,2011,Misc,THQ,0.06,0,0,0,0.06,,,tbd,,Jellyvision,T
Bionicle,XB,2003,Action,Electronic Arts,0.05,0.01,0,0,0.06,49,5,1.5,4,Argonaut Games,E
GRID 2,PC,2013,Racing,Codemasters,0,0.06,0,0.01,0.06,80,17,5.7,571,Codemasters,E
Cabela's Trophy Bucks,Wii,2008,Sports,Activision Value,0.06,0,0,0,0.06,,,6,5,FUN Labs,T
Cosmos Chaos!,DS,2010,Misc,Mentor Interactive,0.06,0,0,0,0.06,,,,,,
Guitar Freaks 3rdMIX & DrumMania 2ndMIX,PS2,2000,Simulation,Konami Digital Entertainment,0,0,0.06,0,0.06,,,,,,
Taiko no Tatsujin: Atsumete Tomodachi Daisakusen!,WiiU,2015,Misc,Namco Bandai Games,0,0,0.06,0,0.06,,,,,,
Criminal Girls: Invite Only,PSV,2013,Role-Playing,Nippon Ichi Software,0.01,0.01,0.04,0.01,0.06,55,31,6.7,37,"Image Epoch, Imageepoch",M
Miami Vice: The Game,PSP,2006,Shooter,Activision,0.06,0,0,0,0.06,63,36,7,12,Rebellion,M
Samurai Warriors Chronicles 3,PSV,2014,Action,Tecmo Koei,0,0,0.06,0,0.06,70,9,7.9,14,Omega Force,T
BMX XXX,GC,2002,Sports,Acclaim Entertainment,0.05,0.01,0,0,0.06,60,15,5,7,"Z-Axis, Ltd.",M
Disney's Magical Quest 2 Starring Mickey and Minnie,GBA,2003,Action,Capcom,0.05,0.02,0,0,0.06,63,8,tbd,,Klein Computer Entertainment,E
Bullet Girls,PSV,2014,Action,D3Publisher,0,0,0.06,0,0.06,,,,,,
One Piece: Unlimited World Red,WiiU,2014,Action,Namco Bandai Games,0,0.04,0.02,0,0.06,66,11,7.8,43,Ganbarion,T
Aggressive Inline,XB,2002,Sports,Acclaim Entertainment,0.05,0.01,0,0,0.06,85,20,7.7,7,"Z-Axis, Ltd.",T
Ikki Tousen: Xross Impact,PSP,2010,Action,Marvelous Interactive,0,0,0.06,0,0.06,,,,,,
Smart Boy's Toys Club,DS,2008,Misc,505 Games,0.06,0,0,0,0.06,,,tbd,,Starfish,E
Insecticide,DS,2008,Action,Gamecock,0.06,0,0,0,0.06,55,23,7,5,Creat Studios,E10+
Super Mahjong 2: Honkaku 4Jin Uchi,SNES,1993,Misc,Imax,0,0,0.06,0,0.06,,,,,,
XGRA: Extreme G Racing Association,PS2,2003,Racing,Acclaim Entertainment,0.03,0.02,0,0.01,0.06,68,23,8.6,8,Acclaim Studios Cheltenham,T
Mitsukete! Keroro Gunsou: Machigai Sagashi Daisakusen de Arimasu!,DS,2007,Action,Namco Bandai Games,0,0,0.06,0,0.06,,,,,,
Family Trainer: Treasure Adventure,Wii,2010,Sports,Namco Bandai Games,0,0.05,0,0.01,0.06,,,,,Namco Bandai Games,
Pop'n Music Portable 2,PSP,2011,Misc,Konami Digital Entertainment,0,0,0.06,0,0.06,,,,,,
Kamen Rider: Dragon Knight,Wii,2009,Fighting,D3Publisher,0.06,0,0,0,0.06,,,tbd,,Eighting,T
Darksiders II,XOne,2015,Action,Nordic Games,0.04,0.02,0,0.01,0.06,,,,,,
Ys vs. Sora no Kiseki: Alternative Saga,PSP,2010,Fighting,Falcom Corporation,0,0,0.06,0,0.06,,,,,,
Naruto: Ultimate Ninja Heroes (JP sales),PSP,2006,Fighting,Namco Bandai Games,0,0,0.06,0,0.06,,,,,,
Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin,DS,2008,Adventure,Marvelous Interactive,0,0,0.06,0,0.06,,,,,,
Ray Tracers,PS,1997,Racing,Sony Computer Entertainment,0.04,0.02,0,0,0.06,,,,,,
Mario vs. Donkey Kong: Tipping Stars,3DS,2015,Puzzle,Nintendo,0,0,0.06,0,0.06,70,15,7.5,48,"Nintendo, Nintendo Software Technology",E
Tournament of Legends,Wii,2010,Fighting,Sega,0.04,0.02,0,0.01,0.06,45,38,6.9,11,High Voltage Software,T
Frogger: Helmet Chaos,DS,2005,Platform,Konami Digital Entertainment,0.06,0,0,0,0.06,69,10,tbd,,Konami Computer Entertainment Hawaii,E
Escape from Bug Island,Wii,2006,Action,Eidos Interactive,0.04,0.01,0.01,0,0.06,37,13,5,25,Spike,M
Nicola Kanshuu: Model * Oshare Audition,DS,2010,Misc,Alchemist,0,0,0.06,0,0.06,,,,,,
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 14: CR Shinseiki Evangelion: Saigo no Mono,PS2,2009,Misc,D3Publisher,0,0,0.06,0,0.06,,,,,,
Cold Stone Creamery: Scoop It Up,Wii,2009,Misc,Zoo Games,0.06,0,0,0,0.06,,,tbd,,Zoo Games,E
My Pet Shop,DS,2008,Simulation,Square Enix,0.06,0,0,0,0.06,60,10,tbd,,Taito Corporation,E
James Bond 007: Blood Stone,DS,2010,Shooter,Activision,0.05,0.01,0,0,0.06,70,10,tbd,,n-Space,T
Kururin Paradise,GBA,2002,Puzzle,Unknown,0,0,0.06,0,0.06,,,,,,
Gradius Collection,PSP,2006,Shooter,Konami Digital Entertainment,0.04,0,0.02,0,0.06,76,44,8.5,4,M2,E
Kiniro no Corda 2,PS2,2007,Role-Playing,Tecmo Koei,0,0,0.06,0,0.06,,,,,,
Dynasty Warriors Vs,3DS,2012,Action,Ackkstudios,0,0,0.06,0,0.06,,,,,Koei,
Fist of the North Star: Ken's Rage 2,X360,2012,Fighting,Tecmo Koei,0.03,0.01,0.02,0,0.06,55,18,7.1,20,Koei,M
Gallop Racer 2004,PS2,2004,Sports,Zoo Digital Publishing,0.03,0.02,0,0.01,0.06,70,15,8.7,12,Tecmo,E
Sunrise Eiyuutan R,PS2,2000,Role-Playing,Sunrise Interactive,0,0,0.06,0,0.06,,,,,,
Rayman: Hoodlum's Revenge,GBA,2005,Platform,Ubisoft,0.05,0.02,0,0,0.06,61,12,tbd,,Backbone Entertainment,E
Mobile Suit Gundam Seed: Never Ending Tomorrow,PS2,2004,Shooter,Namco Bandai Games,0.03,0.02,0,0.01,0.06,45,16,7.8,10,Bec,T
F1 2001,XB,2001,Racing,Electronic Arts,0.05,0.01,0,0,0.06,83,11,5.5,8,EA Sports,E
Utawarerumono: Futari no Hakuoro,PSV,2016,Misc,Aqua Plus,0,0,0.06,0,0.06,,,,,,
Fishing Master (jp sales),Wii,2007,Sports,Konami Digital Entertainment,0,0,0.06,0,0.06,,,,,,
OK! Puzzle Stars,DS,2010,Puzzle,Ubisoft,0,0.06,0,0.01,0.06,,,,,,
Zill O'll Infinite Plus,PSP,2009,Role-Playing,Tecmo Koei,0,0,0.06,0,0.06,,,,,,
Tonka Rescue Patrol,GC,2003,Action,TDK Mediactive,0.05,0.01,0,0,0.06,,,,,,
GunGriffon II,SAT,1998,Simulation,ESP,0,0,0.06,0,0.06,,,,,,
Crimson Gem Saga,PSP,2008,Role-Playing,Sega,0.06,0,0,0,0.06,78,20,7.5,30,"IronNos Co.,Ltd.",T
Monster Tale,DS,2011,Platform,Majesco Entertainment,0.06,0,0,0,0.06,79,15,8,15,DreamRift,E
Legend of the Dragon,Wii,2007,Fighting,Game Factory,0.06,0,0,0,0.06,37,14,4.8,5,Neko Entertainment,T
Cel Damage,GC,2002,Racing,Electronic Arts,0.05,0.01,0,0,0.06,67,12,6.8,11,Pseudo Interactive,T
Backyard Hockey,DS,2007,Sports,Atari,0.06,0,0,0,0.06,,,tbd,,Mistic Software,E
Famicom Mini: Balloon Fight,GBA,2004,Action,Nintendo,0,0,0.06,0,0.06,,,,,,
Steins;Gate: Senkei Kousoku no Phonogram,PS3,2013,Adventure,5pb,0,0,0.06,0,0.06,,,,,,
Seaman 2: Peking Genjin Ikusei Kit,PS2,2007,Simulation,Sega,0,0,0.06,0,0.06,,,,,,
Chou Gekijouban Keroro Gunsou 3: Tenkuu Daibouken de Arimasu!,DS,2008,Action,Namco Bandai Games,0,0,0.06,0,0.06,,,,,,
Sprung - A Game Where Everyone Scores,DS,2004,Adventure,Ubisoft,0.06,0,0,0,0.06,,,,,,
Mirror's Edge Catalyst,PC,2016,Platform,Electronic Arts,0.01,0.05,0,0,0.06,74,24,4.4,606,EA DICE,T
The Pinball of the Dead,GBA,2002,Misc,Sega,0.05,0.02,0,0,0.06,79,20,tbd,,Sega,T
Growlanser IV: Over Reloaded,PSP,2011,Role-Playing,Atlus,0,0,0.06,0,0.06,,,,,,
Arc the Lad: End of Darkness,PS2,2004,Role-Playing,Sony Computer Entertainment,0.03,0.02,0,0.01,0.06,59,24,4.2,10,Cattle Call,T
The King of Route 66,PS2,2003,Racing,Sega,0.03,0.02,0,0.01,0.06,57,21,tbd,,Sega,T
Tom Clancy's Splinter Cell: Pandora Tomorrow,GBA,2004,Action,Ubisoft,0.05,0.02,0,0,0.06,68,19,6.2,6,Ubisoft,T
Western Riding Academy,DS,2010,Simulation,Destineer,0.06,0,0,0,0.06,,,tbd,,Snapdragon,E
Bubble Bobble also featuring Rainbow Islands,PS,1995,Puzzle,Acclaim Entertainment,0.04,0.02,0,0,0.06,,,,,,
Intellivision Lives!,GC,2004,Misc,Crave Entertainment,0.05,0.01,0,0,0.06,,,,,,
Tokobot,PSP,2005,Platform,Take-Two Interactive,0.06,0,0,0,0.06,72,30,7.3,8,Tecmo,E
Monster Madness: Grave Danger,PS3,2008,Shooter,SouthPeak Games,0.05,0,0,0.01,0.06,55,25,tbd,,Psyonix,T
Panzer Tactics,DS,2007,Strategy,10TACLE Studios,0.06,0,0,0,0.06,,,,,,
Pro Yaky? Spirits 2013,PSV,2013,Sports,Konami Digital Entertainment,0,0,0.06,0,0.06,,,,,,
Robotica,SAT,1994,Shooter,Sega,0,0,0.06,0,0.06,,,,,,
Super Robot Wars OG: The Moon Dwellers,PS3,2016,Misc,Namco Bandai Games,0,0,0.06,0,0.06,,,,,,
Deathrow: Underground Team Combat,XB,2002,Sports,Ubisoft,0.05,0.01,0,0,0.06,,,,,,
The Amazing Spider-Man 2 (2014),3DS,2014,Action,Activision,0.03,0.03,0,0.01,0.06,,,,,,
Paws & Claws: Marine Rescue,DS,2011,Simulation,THQ,0.06,0,0,0,0.06,,,,,,
Land of the Dead: Road to Fiddler's Green,XB,2005,Shooter,Groove Games,0.05,0.01,0,0,0.06,32,9,5.8,10,Brainbox Games,M
Odin Sphere: Leifthrasir,PS3,2016,Role-Playing,Nippon Ichi Software,0.02,0.01,0.03,0.01,0.06,,,7,29,Vanillaware,T
R-Types,PS,1998,Shooter,Virgin Interactive,0.04,0.02,0,0,0.06,,,,,,
Star Fighter,PS,1995,Shooter,Telstar,0.04,0.02,0,0,0.06,,,,,,
Game Center CX: 3-Choume no Arino,3DS,2014,Action,Namco Bandai Games,0,0,0.06,0,0.06,,,,,,
Assetto Corsa,PS4,2016,Racing,505 Games,0,0.05,0,0.01,0.06,73,35,6.2,70,Kunos Simulazioni,E
NHL 2K9,Wii,2008,Sports,Take-Two Interactive,0.06,0,0,0,0.06,65,11,5.4,19,Visual Concepts,E10+
Kuukan * Zukei: Hirameki Training - KuuTore,DS,2008,Misc,Benesse,0,0,0.06,0,0.06,,,,,,
Osu! Tatakae! Ouendan,DS,2005,Misc,Nintendo,0,0,0.06,0,0.06,,,,,,
Dissidia: Final Fantasy Universal Tuning,PSP,2009,Fighting,Square Enix,0,0,0.06,0,0.06,,,,,,
Fast Food Panic,Wii,2009,Simulation,Nobilis,0.06,0,0,0,0.06,57,6,tbd,,MBA International,E
"Warhammer 40,000: Squad Command",DS,2007,Strategy,THQ,0.05,0.01,0,0.01,0.06,57,21,7.9,16,THQ,T
Johnny Test,DS,2011,Platform,505 Games,0.06,0,0,0,0.06,,,0.9,7,"505 Games, Sarbakan Inc.",E
One Piece: Burning Blood,XOne,2016,Fighting,Namco Bandai Games,0.03,0.02,0,0.01,0.06,60,10,5.8,12,Spike Chunsoft,T
TrackMania Turbo,XOne,2016,Action,Ubisoft,0.02,0.04,0,0,0.06,76,12,7.7,27,Nadeo,E
Pro Evolution Soccer 2015,PC,2014,Sports,Konami Digital Entertainment,0,0.06,0,0,0.06,82,8,5.8,173,Konami,
Jewels of the Ages,DS,2011,Puzzle,City Interactive,0.03,0.02,0,0.01,0.06,,,tbd,,City Interactive,E
Meitantei Conan: Aoki Houseki no Rinbukyoku,DS,2011,Adventure,Namco Bandai Games,0,0,0.06,0,0.06,,,,,,
The Legend of Heroes: Trails in the Sky Second Chapter,PSP,2007,Role-Playing,Falcom Corporation,0,0,0.06,0,0.06,,,,,,
Zero Escape: Zero Time Dilemma,PSV,2016,Adventure,Aksys Games,0.03,0,0.02,0.01,0.06,83,31,8.3,116,"Spike Chunsoft, Chime",M
Bionicle Heroes,DS,2006,Shooter,Eidos Interactive,0.06,0,0,0,0.06,72,11,6.4,15,Amaze Entertainment,T
Mystic Heroes,PS2,2002,Action,Tecmo Koei,0.03,0.02,0,0.01,0.06,67,7,8.6,14,Koei,T
Tron 2.0: Killer App,GBA,2004,Action,Disney Interactive Studios,0.04,0.02,0,0,0.06,68,16,tbd,,Digital Eclipse,E
Jurassic Park III: Park Builder,GBA,2001,Simulation,Konami Digital Entertainment,0.04,0.02,0,0,0.06,65,5,8,5,Konami,E
Unchained Blades ,PSP,2011,Role-Playing,FuRyu,0,0,0.06,0,0.06,61,8,7.5,15,FuRyu,T
NHL Legacy,X360,2015,Action,Electronic Arts,0.06,0,0,0.01,0.06,,,,,,
Rurouni Kenshin: Meiji Kenkaku Romantan Saisen,PSP,2011,Fighting,Namco Bandai Games,0,0,0.06,0,0.06,,,,,,
Santa Claus Is Comin' to Town!,DS,2011,Puzzle,Crave Entertainment,0.06,0,0,0,0.06,,,,,,
Disney Infinity 2.0: Marvel Super Heroes,PSV,2015,Action,Disney Interactive Studios,0,0.05,0,0.01,0.06,,,,,,
Octomania,Wii,2007,Puzzle,Midas Interactive Entertainment,0.06,0,0,0,0.06,66,9,tbd,,Compile Heart,E
Godzilla (2014),PS3,2014,Action,Namco Bandai Games,0,0,0.06,0,0.06,,,,,,
Code Geass: Hangyaku no Lelouch - Lost Colors,PS2,2008,Adventure,Namco Bandai Games,0,0,0.06,0,0.06,,,,,,
Showtime Championship Boxing,Wii,2007,Fighting,Zoo Digital Publishing,0.06,0,0,0,0.06,35,7,4.7,10,Nikitova Games,E10+
LEGO Bionicle,GBA,2001,Platform,LEGO Media,0.04,0.02,0,0,0.06,,,tbd,,Saffire,E
Ansatsu Kyoushitsu: Assassin Ikusei Keikaku!!,3DS,2016,Action,Namco Bandai Games,0,0,0.06,0,0.06,,,,,,
Power Shovel,PS,2000,Action,JVC,0.03,0.02,0,0,0.06,,,,,,
Bomberman Land,PSP,2007,Misc,Hudson Entertainment,0.06,0,0,0,0.06,55,14,7.8,4,Racjin,E
A llI S.V.: A Ressha de Gyoukou 3 Super Version,SNES,1995,Simulation,Pack-In-Video,0,0,0.06,0,0.06,,,,,,
My Pet Chimp,DS,2010,Simulation,505 Games,0.06,0,0,0,0.06,,,tbd,,505 Games,E
Generator Rex: Agent of Providence,X360,2011,Action,Activision,0.05,0.01,0,0,0.06,,,4,6,Virtuos,E10+
Chrysler Classic Racing,Wii,2008,Racing,Zoo Games,0.06,0,0,0,0.06,40,4,tbd,,Extra Mile Studios,E
Spy Games: Elevator Mission,Wii,2007,Shooter,Tommo,0.06,0,0,0,0.06,,,tbd,,Tommo,T
The Book of Unwritten Tales: The Critter Chronicles,PC,2011,Action,Crimson Cow,0,0.05,0,0.01,0.06,,,,,,
Steins;Gate,PS3,2012,Adventure,PQube,0.01,0.02,0.02,0.01,0.06,83,8,8.7,51,Nitro+,M
Nights of Azure,PS4,2015,Action,Tecmo Koei,0.03,0.02,0,0.01,0.06,67,40,7.6,71,Gust,T
Strike Force Bowling,GC,2005,Sports,Crave Entertainment,0.05,0.01,0,0,0.06,47,4,tbd,,Crave,E
Age of Empires Online,PC,2011,Strategy,Microsoft Game Studios,0.01,0.04,0,0.01,0.06,70,44,5.6,186,Gas Powered Games,E10+
Earth Defense Force 2017 Portable,PSV,2012,Action,D3Publisher,0,0,0.06,0,0.06,68,36,7.9,31,Sandlot,T
Atelier Iris 2: The Azoth Of Destiny,PS2,2005,Role-Playing,Tecmo Koei,0.03,0.02,0,0.01,0.06,68,34,7.8,14,Gust,E10+
Spy Fox in Dry Cereal,Wii,2008,Adventure,Majesco Entertainment,0.06,0,0,0,0.06,,,tbd,,"Humongous Entertainment, Mistic Software",E
There,PS,2002,Simulation,Infogrames,0.03,0.02,0,0,0.06,,,,,,
Tokimeki no Houkago,PS,1998,Misc,Konami Digital Entertainment,0,0,0.06,0,0.06,,,,,,
Championship Surfer,PS,2000,Sports,Mattel Interactive,0.03,0.02,0,0,0.06,57,5,tbd,,Krome Studios,E
Zumba Fitness Core,Wii,2012,Misc,505 Games,0,0.06,0,0.01,0.06,,,tbd,,Zoe Mode,E10+
Lego Batman 3: Beyond Gotham,PC,2014,Action,Warner Bros. Interactive Entertainment,0,0.06,0,0,0.06,,,6.8,21,TT Games,E10+
Di-Gata Defenders,DS,2008,Role-Playing,Game Factory,0.06,0,0,0,0.06,,,tbd,,Mystic Software,E
Monster Garage,XB,2004,Strategy,Activision Value,0.05,0.01,0,0,0.06,38,5,tbd,,Activision Value,T
ZhuZhu Pets: Quest for Zhu,DS,2011,Misc,Activision,0.06,0,0,0,0.06,,,tbd,,,
Akai Katana Shin,X360,2011,Shooter,Cave,0.04,0,0.01,0,0.06,,,,,,
A-Train: City Simulator,3DS,2014,Simulation,ArtDink,0,0,0.06,0,0.06,65,4,tbd,,Artdink,E10+
Tecmo Classic Arcade,XB,2005,Misc,Microsoft Game Studios,0.05,0.01,0,0,0.06,55,26,tbd,,Tecmo,E
2 Games in 1: Sonic Pinball Party & Columns Crown,GBA,2005,Misc,Sega,0.04,0.02,0,0,0.06,,,,,,
Mad Maestro!,PS2,2001,Misc,Eidos Interactive,0.03,0.02,0,0.01,0.06,,,,,,
Densha De Go! 3 Tsuukinhen,PS2,2001,Simulation,Taito,0,0,0.06,0,0.06,,,,,,
Biker Mice From Mars,PS2,2006,Racing,Game Factory,0.03,0.02,0,0.01,0.06,27,4,tbd,,Creat Studios,E10+
From The Abyss,DS,2008,Role-Playing,Nobilis,0.06,0,0,0,0.06,59,9,8,5,Sonic Powered,E
Jewel Quest IV: Heritage,DS,2011,Puzzle,iWin,0,0.05,0,0.01,0.06,,,tbd,,Engine Software,E
Daito Giken Koushiki Pachi-Slot Simulator: Ossu! Banchou Portable,PSP,2006,Misc,Daito,0,0,0.06,0,0.06,,,,,,
Sudoku Ball Detective,DS,2009,Puzzle,Playlogic Game Factory,0.06,0,0,0,0.06,54,6,tbd,,Whitebear,E10+
The LEGO Movie Videogame,PC,2014,Action,Warner Bros. Interactive Entertainment,0.02,0.04,0,0,0.06,68,7,6.8,33,TT Games,E10+
DuckTales: Remastered,WiiU,2013,Action,Capcom,0.06,0,0,0.01,0.06,76,10,7.9,100,WayForward,E
Giants: Citizen Kabuto,PS2,2001,Shooter,Interplay,0.03,0.02,0,0.01,0.06,79,15,6.9,8,Digital Mayhem,T
Steins;Gate,X360,2009,Adventure,5pb,0,0,0.06,0,0.06,,,,,,
Crayon Shin-chan: Arashi o Yobu Kasukabe Eiga Stars!,3DS,2014,Adventure,Namco Bandai Games,0,0,0.06,0,0.06,,,,,,
Star Wars Knights of the Old Republic II: The Sith Lords,PC,2005,Role-Playing,LucasArts,0.01,0.04,0,0.01,0.06,,,,,,
MX vs. ATV Supercross,X360,2014,Racing,Nordic Games,0.03,0.02,0,0.01,0.06,48,10,4.8,14,Nordic Games Publishing,E
Grand Kingdom,PSV,2015,Role-Playing,Nippon Ichi Software,0.01,0.01,0.04,0.01,0.06,76,11,8.8,33,Spike Chunsoft,T
Risen 3: Titan Lords,PS4,2015,Role-Playing,Deep Silver,0,0.05,0,0.01,0.06,,,,,,
Guilty Gear XX Accent Core Plus,PS2,2008,Fighting,PQube,0.03,0.02,0,0.01,0.06,,,8,7,Arc System Works,T
LEGO Batman: The Videogame,PC,2008,Action,Warner Bros. Interactive Entertainment,0.02,0.03,0,0.01,0.06,80,15,7.8,61,Traveller's Tales,E10+
Alone in the Dark,PS2,2008,Adventure,Atari,0.03,0.02,0,0.01,0.06,47,10,5.4,24,Hydravision,M
Muppets Party Cruise,PS2,2003,Misc,TDK Mediactive,0.03,0.02,0,0.01,0.06,61,11,8,6,Mass Media,E
Higurashi Daybreak Portable,PSP,2008,Adventure,Alchemist,0,0,0.06,0,0.06,,,,,,
